"year","time","rank","artist","album","song_title_clean","k_title","e_title","k_length","e_length","eng_label"
2020,1,28,"장덕철","있어줘요","있어줘요","있어줘요","",4,0,0
2020,1,29,"MC몽","CHANNEL 8","인기","인기","",2,0,0
2020,1,30,"아이유 (IU)","Love poem","시간의 바깥","시간의 바깥","",6,0,0
2020,1,31,"성시경, 아이유 (IU)","첫 겨울이니까","첫 겨울이니까","첫 겨울이니까","",7,0,0
2020,1,34,"태연 (TAEYEON)","Purpose - The 2nd Album","불티 (Spark)","불티","",2,0,1
2020,1,35,"임재현","사랑에 연습이 있었다면","사랑에 연습이 있었다면","사랑에 연습이 있었다면","",12,0,0
2020,1,38,"EXO","OBSESSION - The 6th Album","Obsession","","Obsession",0,9,1
2020,1,39,"황인욱","이별주","이별주","이별주","",3,0,0
2020,1,41,"먼데이 키즈 (Monday Kiz)","사랑이 식었다고 말해도 돼","사랑이 식었다고 말해도 돼","사랑이 식었다고 말해도 돼","",14,0,0
2020,1,44,"볼빨간사춘기 (BOL4)","Two Five","워커홀릭","워커홀릭","",4,0,0
2020,1,47,"다비치","사랑의 불시착 OST Part 3","노을","노을","",2,0,0
2020,1,48,"태연 (TAEYEON)","겨울왕국 2 (한국어 버전)","숨겨진 세상 (Into the Unknown End Credit Ver.) (겨울왕국 2)","숨겨진 세상","",6,0,1
2020,1,49,"태연 (TAEYEON)","호텔 델루나 OST Part.3","그대라는 시","그대라는 시","",6,0,0
2020,1,50,"장혜진, 윤민수","술이 문제야","술이 문제야","술이 문제야","",6,0,0
2020,1,53,"HYNN(박혜원)","차가워진 이 바람엔 우리가 써있어(Bad Love)","차가워진 이 바람엔 우리가 써있어(Bad Love)","차가워진 이 바람엔 우리가 써있어","",18,0,1
2020,1,57,"케이시 (Kassy)","Rewind","가을밤 떠난 너","가을밤 떠난 너","",8,0,0
2020,1,58,"아이유 (IU)","Love poem","unlucky","","unlucky",0,7,1
2020,1,59,"(여자)아이들","퀸덤 [FINAL 컴백 싱글]","LION","","LION",0,4,1
